"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"DLK2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"ENPP4","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"ENPP5","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"FOXP4","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"FRS3","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"GNMT","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"GTPBP2","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"GUCA1A","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"GUCA1B","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"HSP90AB1","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"KIAA0240","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"KIAA1377","Amp_AP_4:11q22.2","Amp",4,"sarc-sg029-01-000-000,sgit-st085-01-000-000,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,4,"11q22.2",11,0.363636363636364
"KLC4","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"KLHDC3","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"LOC100132354","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"LOC221442","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"LRRC73","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MAD2L1BP","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MDFI","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
"MEA1","Amp_AP_2:6p21.1","Amp",7,"sarc-sg029-01-000-000,sgit-st026-01-000-000,sgit-st100-01-000-001,sgit-st101-01-000-000,sgit-st102-01-000-100,sgit-st103-01-000-000,sgit-st114-01-000-000",0.025282,7,"6p21.1",11,0.636363636363636
