"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"C2CD2","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
"LINC00111","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
"LINC00112","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
"LINC00479","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
"MX1","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
"PRDM15","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
"RIPK4","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
"TMPRSS2","Amp_AP_1:21q22.3","Amp",5,"sgit-st002-01-000-000,sgit-st025-01-000-000,sgit-st075-01-000-000,sgit-st087-01-000-000,sgit-st109-02-000-000",0.018147,5,"21q22.3",9,0.555555555555556
