"Hugo_Symbol","key","Variant_Classification","N","samples","qvalues","nSamples","cito","total","Fract"
"BMF","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"BRSK2","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"BUB1B","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C11orf21","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"C11orf35","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"C15orf2","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf23","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf24","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf29","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf41","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf52","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf53","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf54","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf55","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf56","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf57","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C15orf62","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"C2orf57","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"C2orf72","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"C2orf82","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"C2orf83","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"C9orf100","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"C9orf128","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"C9orf131","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"C9orf23","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"C9orf24","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"C9orf25","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CA9","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CAB39","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"CAPN10","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"CAPN3","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CARS","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"CASC5","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CCDC107","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CCIN","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CCL19","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CCL20","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"CCL21","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CCL27","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CCNDBP1","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CD151","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"CD72","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CD81","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"CDAN1","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CDHR5","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"CDKN1C","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"CEND1","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"CHAC1","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CHEK2P2","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CHID1","Del_DP_5:11p15.5","Del",4,"sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000,sgit-st104-01-000-000",0.081598,4,"11p15.5",12,0.333333333333333
"CHP","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CHRFAM7A","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CHRM5","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CHRNA6","Del_DP_2:8p11.21","Del",4,"sarc-sg048-01-000-000,sarc-sg054-01-000-200,sgit-st061-01-000-000,sgit-st084-01-000-000",0.059264,4,"8p11.21",12,0.333333333333333
"CHRNA7","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CHRND","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"CHRNG","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"CHST14","Del_DP_6:15q13.3","Del",2,"sgit-st061-01-000-000,sgit-st084-01-000-000",0.033139,2,"15q13.3",12,0.166666666666667
"CLTA","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CNTFR","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CNTNAP3","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"CNTNAP3B","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
"COL4A3","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"COL4A4","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"COL6A3","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"COPS7B","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"COPS8","Del_DP_1:2q37.1","Del",6,"sarc-sg054-01-000-000,sarc-sg054-01-000-200,sgit-st056-01-000-000,sgit-st061-01-000-000,sgit-st068-01-000-000,sgit-st084-01-000-000",0.033139,6,"2q37.1",12,0.5
"CREB3","Del_DP_4:9p12","Del",4,"sgit-st008-01-000-000,sgit-st036-01-000-000,sgit-st061-01-000-000,sgit-st084-01-000-000",0.0023965,4,"9p12",12,0.333333333333333
